id,full_name,year_make,year_use,cost,sp_use_method_id,sp_direct_use_id,sp_country_id,sp_yes_no_id,sp_vuz_id
475,Мультиметр APPA207,2013,2014,11864.0,5,2,167,1,84
476,Видеоконференцсвязь Polycom(7200-63530-114) RealPresence Group 300-720p.,2013,2014,148305.0,8,4,81,1,84
477,Система для измерения характеристик полупроводниковых материалов и приборов 4200-SCS «Keithley» ,2009,2009,1200.0,5,2,143,1,99
478,Универсальный СЗМ комплекс Интегра Прима «ЗАО НТМДТ»,2008,2008,5656.7,3,2,140,1,99
479,Спектрометр универсальный рентгеновский СУР-01 «Реном» ,2008,2008,1997.8,4,2,140,1,99
480,"Система электронно-лучевого и термического испарения BAK 501, «Evatec ltd»",2008,2008,11359.3,6,1,193,1,99
481,"Тестер фотоэлектрических преобразователей SТ-1000 , «Телеком- СТВ»",2008,2008,1862.0,5,2,140,1,99
482,Цифровой аналитический  металлографический комплекс ,2012,2012,2100.0,2,2,45,1,99
483,Микроскоп электронный просвечивающий ЭМ-125К,1993,1993,3516.54,2,2,178,2,99
484,Микроскоп электронный просвечивающий ЭМВ-100БР,1993,1993,1010.36,2,2,178,2,99
485,Микроскоп электронный просвечивающий ПРЭМ-200,1992,1992,1195.6,2,2,178,2,99
486,"Комплекс на основе высоковакуумного оборудования (Установка импульсно-фотонного отжига УОЛП-1М, Сверхвысоковакуумная установка УСУ-4, Вакуумные универсальные посты ВУП-4М и ВУП-5, Шкаф сушильный вакуумный ШСВ 5.5.6/2,5)",1994,1994,1754.94,1,1,140,1,99
487,Сканирующий зондовый микроскоп Solver P47,1995,1995,2597.76,2,2,140,2,99
488,Электронный растровый микроскоп BS-300,1992,1992,1250.93,2,2,191,2,99
489,Установка вакуумного напыления 01МЭ – 7 – 004 «Оратория 9» ,1995,1995,1694.68,6,1,140,2,99
490,"Комплекс анализа структуры веществ (Рентгеновский дифрактометр ДРОН 4-07, Электронограф ЭГ-100М)",1995,1995,1096.89,4,2,140,2,99
491,"Программно-аппаратный модуль «Гидравлика», «Тепло», «Прочность»в составе:- Вычислительный кластер FORSITE -1 шт.- Графическая станция ARTIST – 3 шт.- ПО ANSYS",2012,2012,17000.0,1,2,140,1,99
492,"Комплекс специализированных гидрогазодинамических исследований (экспериментально-измерительный комплекс, специализированный комплекс гидрогазодинамических исследований)",2012,2012,1250.0,7,1,140,2,99
493,"Лаборатория неразрушающего магнитно-порошкового контроля (в составе: магнитопорошковый дефектоскоп Universal 450, установка магнитопорошкового контроля звеньевых грузовых цепей Hellmag 3000)",2011,2011,2500.0,1,3,45,1,99
494,"Лаборатория сварки плавлением (сварочные аппараты австрийской фирмы Fronius, роботизированный комплекс Func Arc Mate 0iA)",2013,2013,2200.0,1,3,1,1,99
495,Установка для финишного плазменного упрочнения УФПУ-111,2011,2011,3531.74,6,1,140,1,99
496,Установка для финишного плазменного упрочнения УФПУ-114,2011,2011,3280.4,6,1,140,1,99
497,Лабораторный технологический комплекс получения прекурсоров Dornier\n0126Т\n,2011,2011,20600.0,6,1,140,1,99
498,Опытный технологический комплекс пропитки COS.T.A. I 190 102,2011,2011,46500.0,6,1,70,1,99
499,Лабораторный комплекс по определению ключевых характеристик препрегов и ПКМ на их основе,2012,2012,71100.0,6,1,140,1,99
500,Испытательный лабораторный комплекс по получению новых и модифицированных композиционных материалов,2012,2012,23347.0,6,1,140,1,99
501,"Комплекс (СВЧ релаксометр MWR-SIM , «Телеком- СТВ», Измеритель удельного электросопротивления TRM-0,1/100i, Измеритель удельного электросопротивления TRM-0,1/100i)",2009,2009,1240.83,5,2,140,1,99
502,"Комплекс электрофизических измерений (Измеритель RLC-параметров GW LCR-78101G, Автоматизированное зарядно-разрядное устройство АЗР-150А-5В-Э, Наносклерометрический модуль для СЗМ комплекса Интегра Прима «ЗАО НТМДТ»)",2012,2012,1052.0,5,2,140,1,99
503,"Измерительно-калибровочная система для установки напыления металлов ВАК 501 «Evatec», RLA-Tencor Alpha-Step 200",2011,2011,2180.0,3,2,143,1,99
504,Комплекс аппаратно-программный на базе хромотографа газового,2015,2015,1000.0,8,3,140,2,3
505,Испытательный пресс ИП-500М,2011,2011,1000.0,8,2,140,2,3
506,Многоцелевая\nисследовательская\nлаборатория зондовой и\nлазерной конфокальной\nмикроскопии Ntegra Spectra.,2010,2011,15552.0,3,2,140,1,117
507,Автоматизированный многофункциональный комплекс для магнетронного нанесения покрытий ВАТТ АМК-МИ»,2011,2012,9656.5,6,1,140,1,117
508, Рентгеновск. порошков. дифрактометр «Empyrean series 2». PANanalytical ,2012,2012,10989.8,4,2,122,1,117
509,Криогенная  установка для получения жидкого азота производительностью 40 л/сутки с накопителем 160 л «Cryomech LNP 40».,2010,2011,2800.0,5,1,143,1,117
510,Вакуумная многоколпачная установка для синтеза и исследования пленок с криогенной откачкой и многоканальной системой напуска газа.,2013,2014,3339.22,6,1,140,1,117
511,Настольный растровый электронный микроскоп-анализптор ASPEX Express,2012,2012,5075.0,2,2,143,1,117
512,"Спектрометрический комплекс на базе монохроматора МДР-41 для исследования люминесценции и пропускания 0,2-25,8 мкм с оптическим азотно-проточным криостатом",2012,2013,1800.0,5,2,140,1,117
513,Энергодисперсионный рентгенофлуорисцентный спектрометр EDX-800HS,2007,2008,3450.5,4,2,204,1,117
514,планетарная шаровая мельница РМ 100,2013,2013,6150.0,6,1,140,1,117
515,Гидравлический пресс «ОМА 665-666» (WERTHER INTERNATION),2013,2013,322.0,6,1,70,1,117
516,Камерная программируемая печьLF-1514,2012,2013,283.2,6,1,45,1,117
517,Турбомолекулярный откачной пост 75D (EXT75DX/NW40/XDD1/200-230V),2013,2013,747.5,6,1,31,1,117
518,Бидистиллятор GFL 21042104,2011,2012,229.0,6,1,45,1,117
519,Модернизированный микроинтерферометр  с возможн. компьютерной обработки в интерактивном режиме. МИИ-4М + МОВ-1-16,2012,2013,209.9,6,1,140,1,117
520,Система капиллярного электрофореза «Капель 103 РТ»,2011,2012,985.0,6,1,140,1,117
521,Генератор водорода Н2-CARRIER-500-EU LNI SCHMIDLIN SA,2011,2012,528.5,6,1,194,1,117
522,"Оптоволоконный спектрометр AvaSpec-ULS2048x64-USB2 в комплекте для рефлектометрических, абсорбционных, абсолютных радиометрических и интерференционных  измерений",2011,2012,5650.0,5,2,122,1,117
523,Двулучевой сканирующий спектрофотометр SPECORD 210 Plus BU (Analitic Jena AG),2011,2012,5726.0,5,2,45,1,117
524, Установка для определения термодиффузии и температуропроводности методом лазерной вспышки NETZCH LFA 457,2009,2011,8500.0,6,2,45,1,117
525,Дифференциальный сканирующий калориметр DSC 204 F1 NETZCH ,2007,2008,2400.0,6,2,45,1,117
526,Прибор синхронного термического анализа NETZCH SNF 449 F3 JUPITER,2013,2014,3150.0,6,2,45,1,117
527,Микроволновая система минерализации проб под давлением  TOPWare IV (Analitic Jena),2012,2012,1758.0,6,2,45,1,117
528,Атомно-абсорбционный спектрометр Сontr AA700 (Analitic Jena) ,2011,2011,3544.5,6,2,45,1,117
529,Лабораторная система экстракции в составе SFE 1000M1-2-FMC-50 (Waters),2012,2012,7122.13,6,1,143,1,117
530,Газовый хроматограф с масс-спектроскопическим детектором 7820,2012,2012,2307.89,6,2,143,1,117
531,Спектрофотометр UV-3600 c интегрирующей сферой LISR-3100,2011,2012,2600.0,6,2,204,1,117
532,Высокоэффективный жидкостной хроматограф 1220 Infinity.,2011,2012,1800.0,6,2,143,1,117
533,Программно-аппаратный комплекс оптической микроскопии Мекос-7Ц.,2009,2010,520.0,6,2,140,1,117
534,Спектрофотометр ПромЭкоЛаб ПА-3000УФ,2014,2014,647.678,6,2,81,1,117
535,Анализатор ртути PA-915M.,2014,2014,975.1,6,2,140,1,117
536,Система капиллярного электрофореза «Капель 105 РТ»,2014,2014,985.05,6,2,140,1,117
537,Вакуумная установка атомно-слоевого осаждения тонких пленок ML-1000.,2014,2014,9751.0,6,1,143,1,117
538,Спектрофлуориметр F-700.,2014,2014,2685.37,6,2,204,1,117
539,Многофункциональный\nэкспериментальный\nлазерно-спектрометрический\nкомплекс.,2012,2013,8218.0,6,2,140,1,117
540,Экспериментальный\nлазерный\nспектрофлуориметр,2011,2012,5380.0,6,2,140,1,117
541,Многоцелевой\nэкспериментальный\nмасс-спектрометрический\nкомплекс ЭМК.,2012,2013,8760.0,6,2,178,1,117
542,ИК-Фурье спектрометр\nИнфраЛЮМ ФТ-02 .,2007,2008,680.0,6,2,140,1,117
543,Высокоэффективный\nжидкостной хроматограф в\nкомплекте со\nспектрофлуориметром\nЛЮМАХРОМ.,2007,2008,625.0,6,2,140,1,117
544,Спектрометрический\nкомплекс МДР-41 в\nкомплексе с азотным\nпроточным криостатом\nOptCryo198,2011,2012,1420.0,6,2,140,1,117
545,Ультрацентрифуга OPTIMA\nL-90K CE,2012,2013,5505.25,6,1,143,1,117
546,Спектрофотометр Du730 в\nкомплекте с термоячейкой.,2012,2013,1160.0,6,2,143,1,117
547,Фурье спектрометр Nicolet\n6700 с расширенным\nспектральным диапазоном до\n50 см-1,2012,2013,3332.0,6,2,143,1,117
548,Газовый\nхроматомасс-спектрометр\n7820 Маэстро,2012,2013,2307.9,6,2,143,1,117
549,Рентгено-флуоресцентный\nанализатор Delta Premium\nExplorer,2012,2013,1887.0,4,2,204,1,117
550,Фотобиореактор Applikon\nBiotechnology 3L.,2012,2013,2090.0,6,1,122,1,117
551,Система для диафрагменного\nэлектролиза водных\nрастворов РАСКАТ 1000-0500.,2012,2013,1187.5,6,2,140,1,117
552,Спектрометрический\nкомплекс c\nвысокоскоростным фото- и\nвидеодетектированием с\nодновременным\nразрешением по спектру и\nпо времени SP 2356/PI-MAX3.,2012,2013,3500.0,6,2,143,1,117
553,Лазерный комплекс для\nгенерации импульсов\nширокополосного лазерного\nизлучения LP603/LQ529.,2012,2013,2000.0,6,2,17,1,117
